PMID,Title,Abstract,Authors,Journal,Publication Year,Keywords,DOI,Affiliations,MeSH Terms,Grant Support,Publication Types
39591449,"Knowledge, attitudes, and practices towards Human Papilloma Virus and uptake of HPV vaccine: A protocol for a systematic review.","Despite a high burden of Human Papilloma Virus (HPV)-associated diseases, HPV vaccine uptake is disparate globally. The objective of this systematic review is to summarize the existing evidence on knowledge, attitudes, and practices (KAP) regarding HPV and the uptake of the HPV vaccine.","Naharin Sultana Anni, Nadia Rehman, Agatha Nyambi, Anthony Musiwa, Tatyana Graham, Roseline Dzekem Dine, Maya Stevens-Uninsky, Elizabeth Alvarez, Zain Chagla, Laura Banfield, Lawrence Mbuagbaw",PloS one,2024,N/A,10.1371/journal.pone.0313887,"Department of Global Health, McMaster University, Hamilton, ON, Canada.; Department of Health Research Methods, Evidence and Impact, McMaster University, Hamilton, ON, Canada.; Department of Health Research Methods, Evidence and Impact, McMaster University, Hamilton, ON, Canada.; Department of Health Research Methods, Evidence and Impact, McMaster University, Hamilton, ON, Canada.; Department of Health Research Methods, Evidence and Impact, McMaster University, Hamilton, ON, Canada.; Department of Health Research Methods, Evidence and Impact, McMaster University, Hamilton, ON, Canada.; Department of Global Health, McMaster University, Hamilton, ON, Canada.; Department of Health Research Methods, Evidence and Impact, McMaster University, Hamilton, ON, Canada.; Department of Medicine, McMaster University, Hamilton, ON, Canada.; Health Sciences Library, McMaster University, Hamilton, ON, Canada.; Department of Health Research Methods, Evidence and Impact, McMaster University, Hamilton, ON, Canada.","Humans; Papillomavirus Vaccines; Health Knowledge, Attitudes, Practice; Papillomavirus Infections; Female; Systematic Reviews as Topic; Male; Adult; Vaccination; Adolescent; Papillomaviridae; Young Adult; Human Papillomavirus Viruses",N/A,Journal Article
39590816,Modulatory L-Alliin Effect on Acute Inflammatory Cytokines in Diet-Induced Obesity Mice.,,"Daniel Ulises Torres-Reyes, Marina Alma Sánchez-Sánchez, Carmen de la Rocha, Argelia Esperanza Rojas-Mayorquín, Rocío Ivette López-Roa, Daniel Ortuño-Sahagún, Lucrecia Carrera-Quintanar",Metabolites,2024,L-Alliin; S-allyl-cysteine sulfoxide; anti-inflammatory; functional foods; garlic; inflammatory diseases; nutraceuticals; obesity,10.3390/metabo14110580,"Programa de Doctorado en Ciencias de la Nutrición Traslacional (DCNT), Departamento de Reproducción Humana Crecimiento y Desarrollo Infantil, Centro Universitario de Ciencias de la Salud (CUCS), Universidad de Guadalajara (UdeG), Guadalajara 44340, Mexico.; Departamento de Clínicas Médicas, Centro Universitario de Ciencias de la Salud (CUCS), Universidad de Guadalajara (UdeG), Guadalajara 44340, Mexico.; Programa de Doctorado en Ciencias de la Nutrición Traslacional (DCNT), Departamento de Reproducción Humana Crecimiento y Desarrollo Infantil, Centro Universitario de Ciencias de la Salud (CUCS), Universidad de Guadalajara (UdeG), Guadalajara 44340, Mexico.; Departamento Materno-Infantil, Centro Universitario de Tlajomulco (CUTlajo), Universidad de Guadalajara (UdeG), Tlajomulco 45641, Mexico.; Laboratorio de Investigación y Desarrollo Farmacéutico (LIDF), Departamento de Farmacobiología (CUCEI), Universidad de Guadalajara (UdeG), Tlaquepaque 44430, Mexico.; Departamento de Biología Molecular y Genómica, Centro Universitario de Ciencias de La Salud (CUCS), Universidad de Guadalajara (UdeG), Guadalajara 44340, Mexico.; Programa de Doctorado en Ciencias de la Nutrición Traslacional (DCNT), Departamento de Reproducción Humana Crecimiento y Desarrollo Infantil, Centro Universitario de Ciencias de la Salud (CUCS), Universidad de Guadalajara (UdeG), Guadalajara 44340, Mexico.",N/A,"CONACYT-Mexico grant CB-2017-18-A1-S-51026 (Consejo Nacional de Humanidades, Ciencias y Tecnologías); Ciencia de Frontera-2019-552265 (Consejo Nacional de Humanidades, Ciencias y Tecnologías)",Journal Article
39587088,Viruses in the female lower reproductive tract: a systematic descriptive review of metagenomic investigations.,"The lower female reproductive tract (FRT) hosts a complex microbial environment, including eukaryotic and prokaryotic viruses (the virome), whose roles in health and disease are not fully understood. This review consolidates findings on FRT virome composition, revealing the presence of various viral families and noting significant gaps in knowledge. Understanding interactions between the virome, microbiome, and immune system will provide novel insights for preventing and managing lower genital tract disorders.","Layla Honorato, Heuder Gustavo Oliveira Paião, Antonio Charlys da Costa, Tânia Regina Tozetto-Mendoza, Maria Cássia Mendes-Correa, Steven S Witkin",NPJ biofilms and microbiomes,2024,N/A,10.1038/s41522-024-00613-6,"Laboratory of Virology (LIM-52), Department of Infectious Diseases and Tropical Medicine, Instituto de Medicina Tropical de São Paulo, Faculdade de Medicina da Universidade de São Paulo, São Paulo, SP, Brazil. Layla.honorato@usp.br.; Laboratory of Virology (LIM-52), Department of Infectious Diseases and Tropical Medicine, Instituto de Medicina Tropical de São Paulo, Faculdade de Medicina da Universidade de São Paulo, São Paulo, SP, Brazil.; Laboratory of Virology (LIM-52), Department of Infectious Diseases and Tropical Medicine, Instituto de Medicina Tropical de São Paulo, Faculdade de Medicina da Universidade de São Paulo, São Paulo, SP, Brazil.; Laboratory of Virology (LIM-52), Department of Infectious Diseases and Tropical Medicine, Instituto de Medicina Tropical de São Paulo, Faculdade de Medicina da Universidade de São Paulo, São Paulo, SP, Brazil.; Laboratory of Virology (LIM-52), Department of Infectious Diseases and Tropical Medicine, Instituto de Medicina Tropical de São Paulo, Faculdade de Medicina da Universidade de São Paulo, São Paulo, SP, Brazil.; Laboratory of Virology (LIM-52), Department of Infectious Diseases and Tropical Medicine, Instituto de Medicina Tropical de São Paulo, Faculdade de Medicina da Universidade de São Paulo, São Paulo, SP, Brazil.","Female; Humans; Metagenomics; Viruses; Virome; Microbiota; Genitalia, Female; Metagenome",N/A,Journal Article; Systematic Review; Review
39586081,A Computable Phenotype Algorithm for Postvaccination Myocarditis/Pericarditis Detection Using Real-World Data: Validation Study.,"Adverse events (AEs) associated with vaccination have traditionally been evaluated by epidemiological studies. More recently, they have gained attention due to the emergency use authorization of several COVID-19 vaccines. As part of its responsibility to conduct postmarket surveillance, the US Food and Drug Administration continues to monitor several AEs of interest to ensure the safety of vaccines, including those for COVID-19.","Matthew Deady, Raymond Duncan, Matthew Sonesen, Renier Estiandan, Kelly Stimpert, Sylvia Cho, Jeffrey Beers, Brian Goodness, Lance Daniel Jones, Richard Forshee, Steven A Anderson, Hussein Ezzeldin",Journal of medical Internet research,2024,COVID-19 vaccine; FHIR; Food and Drug Administration; adverse event; computable phenotype; electronic health records; fast healthcare interoperability resources; interoperability; postmarket surveillance system; real-world data; vaccine safety; validation study,10.2196/54597,"IBM Consulting, Bethesda, MD, United States.; Departments of Enterprise Information Services and Pediatrics, Cedars-Sinai Health System, Los Angeles, CA, United States.; Cedars-Sinai Health System, Enterprise Information Services, Los Angeles, CA, United States.; Cedars-Sinai Health System, Enterprise Information Services, Los Angeles, CA, United States.; DRT Strategies, Inc., Arlington, VA, United States.; Center for Biologics Evaluation and Research, Food and Drug Administration, Silver Spring, MD, United States.; IBM Consulting, Bethesda, MD, United States.; IBM Consulting, Bethesda, MD, United States.; IBM Consulting, Bethesda, MD, United States.; Center for Biologics Evaluation and Research, Food and Drug Administration, Silver Spring, MD, United States.; Center for Biologics Evaluation and Research, Food and Drug Administration, Silver Spring, MD, United States.; Center for Biologics Evaluation and Research, Food and Drug Administration, Silver Spring, MD, United States.","Adult; Female; Humans; Male; Middle Aged; Algorithms; Electronic Health Records; Myocarditis; Pericarditis; Phenotype; Product Surveillance, Postmarketing; United States; United States Food and Drug Administration; Vaccination",N/A,Journal Article; Validation Study
39584143,Bacteria and fungi of the lung: allies or enemies?,"Moving from the earlier periods in which the lungs were believed to represent sterile environments, our knowledge on the lung microbiota has dramatically increased, from the first descriptions of the microbial communities inhabiting the healthy lungs and the definition of the ecological rules that regulate its composition, to the identification of the changes that occur in pathological conditions. Despite the limitations of lung as a microbiome reservoir due to the low microbial biomass and abundance, defining its microbial composition and function in the upper and lower airways may help understanding the impact on local homeostasis and its disruption in lung diseases. In particular, the understanding of the metabolic and immune significance of microbes, their presence or lack thereof, in health and disease states could be valuable in development of novel druggable targets in disease treatments. Next-generation sequencing has identified intricate inter-microbe association networks that comprise true mutualistic or antagonistic direct or indirect relationships in the respiratory tract. In this review, the tripartite interaction of bacteria, fungi and the mammalian host is addressed to provide an integrated view of the microbial-host cross-talk in lung health and diseases from an immune and metabolic perspective.","Enrico Garaci, Marilena Pariano, Emilia Nunzi, Claudio Costantini, Marina Maria Bellet, Cinzia Antognelli, Matteo Antonio Russo, Luigina Romani",Frontiers in pharmacology,2024,bacterial-fungal interactions; immunity; metabolism; respiratory bacteriome; respiratory mycobiome,10.3389/fphar.2024.1497173,"San Raffaele Research Center, Sulmona, L'Aquila, Italy.; Department of Medicine and Surgery, University of Perugia, Perugia, Italy.; Department of Medicine and Surgery, University of Perugia, Perugia, Italy.; Department of Medicine and Surgery, University of Perugia, Perugia, Italy.; Department of Medicine and Surgery, University of Perugia, Perugia, Italy.; Department of Medicine and Surgery, University of Perugia, Perugia, Italy.; IRCCS San Raffaele Roma, Rome, Italy.; San Raffaele Research Center, Sulmona, L'Aquila, Italy.",N/A,N/A,Journal Article; Review
39578936,Immunoglobulin A Antibodies: From Protection to Harmful Roles.,"Immunoglobulin A (IgA) is the most abundantly produced antibody in humans. IgA is a unique class of immunoglobulin due to its multiple molecular forms, and a defining difference between the two subclasses: IgA1 has a long hinge-region that is heavily O-glycosylated, whereas the IgA2 hinge-region is shorter but resistant to bacterial proteases prevalent at mucosal sites. IgA is essential for immune homeostasis and education. Mucosal IgA plays a crucial role in maintaining the integrity of the mucosal barrier by immune exclusion of pathobionts while facilitating colonization with certain commensals; a large part of the gut microbiota is coated with IgA. In the circulation, monomeric IgA that has not been engaged by antigen plays a discrete role in dampening inflammatory responses. Protective and harmful roles of IgA have been studied over several decades, but a new understanding of the complex role of this immunoglobulin in health and disease has been provided by recent studies. Here, we discuss the physiological and pathological roles of IgA with a special focus on the gut, kidneys, and autoimmunity. We also discuss new IgA-based therapeutic approaches.","Patrick J Gleeson, Niels O S Camara, Pierre Launay, Agnès Lehuen, Renato C Monteiro",Immunological reviews,2024,immunoglobulin A; inflammation; microbiota; mucosal immunity,10.1111/imr.13424,"Center for Research on Inflammation, Paris Cité University, Paris, France.; Department of Immunology, Institute of Biomedical Sciences, University of Sao Paulo, Sao Paulo, Brazil.; Center for Research on Inflammation, Paris Cité University, Paris, France.; Inflamex Laboratory of Excellence, Paris, France.; Center for Research on Inflammation, Paris Cité University, Paris, France.",N/A,N/A,Journal Article; Review
39574718,Serial 'deep-sampling' PCR of fragmented DNA reveals the wide range of ,Infection with the protozoan parasite ,"Brooke E White, Carolyn L Hodo, Sarah A Hamer, Ashley B Saunders, Susana A Laucella, Daniel B Hall, Rick L Tarleton",bioRxiv : the preprint server for biology,2024,N/A,10.1101/2024.06.10.598182,N/A,N/A,N/A,Journal Article; Preprint
39570444,The emerging roles of neuroactive components produced by gut microbiota.,"As a multifunctional ecosystem, the human digestive system contains a complex network of microorganisms, collectively known as gut microbiota. This consortium composed of more than 10","Mitra Ansari Dezfouli, Seyed Khalil Rashidi, Nada Yazdanfar, Hamidreza Khalili, Mehdi Goudarzi, Ali Saadi, Ali Kiani Deh Kiani",Molecular biology reports,2024,Catecholamines; GABA; Gut-brain axis; Microbiota; Neurotransmitters,10.1007/s11033-024-10097-4,"Department of Neurology, School of Medicine, Ahvaz Jundishapur University of Medical Sciences, Ahvaz, Iran. mitraansari84@gmail.com.; Department of Medical Biotechnology, School of Medicine, Ahvaz Jundishapur University of Medical Sciences, Ahvaz, Iran.; Department of Neurology, School of Medicine, Ahvaz Jundishapur University of Medical Sciences, Ahvaz, Iran.; Department of Pharmacology, School of Pharmacy, Ahvaz Jundishapur University of Medical Sciences, Ahvaz, Iran.; Medicinal Plant Research Center, Ahvaz Jundishapur University of Medical Sciences, Ahvaz, Iran.; Department of Neurology, School of Medicine, Ahvaz Jundishapur University of Medical Sciences, Ahvaz, Iran.; Department of Neurology, School of Medicine, Ahvaz Jundishapur University of Medical Sciences, Ahvaz, Iran.",Humans; Gastrointestinal Microbiome; Neurotransmitter Agents; Animals; Brain-Gut Axis; Central Nervous System; Intestinal Mucosa,N/A,Journal Article; Review
39569372,The BNT162b2 mRNA vaccine demonstrates reduced age-associated T,mRNA vaccines demonstrate impaired immunogenicity and durability in vulnerable older populations. We hypothesized that human ,"Byron Brook, Abhinav Kumar Checkervarty, Soumik Barman, Cali Sweitzer, Anna-Nicole Bosco, Amy C Sherman, Lindsey R Baden, Elena Morrocchi, Guzman Sanchez-Schmitz, Paolo Palma, Etsuro Nanishi, Timothy R O'Meara, Marisa E McGrath, Matthew B Frieman, Dheeraj Soni, Simon D van Haren, Al Ozonoff, Joann Diray-Arce, Hanno Steen, David J Dowling, Ofer Levy",iScience,2024,Geriatrics; Health sciences; Immunity; Immunology; Proteomics,10.1016/j.isci.2024.111055,"Precision Vaccines Program, Department of Pediatrics, Boston Children's Hospital, Boston, MA 02115, USA.; Precision Vaccines Program, Department of Pediatrics, Boston Children's Hospital, Boston, MA 02115, USA.; Precision Vaccines Program, Department of Pediatrics, Boston Children's Hospital, Boston, MA 02115, USA.; Precision Vaccines Program, Department of Pediatrics, Boston Children's Hospital, Boston, MA 02115, USA.; Precision Vaccines Program, Department of Pediatrics, Boston Children's Hospital, Boston, MA 02115, USA.; Precision Vaccines Program, Department of Pediatrics, Boston Children's Hospital, Boston, MA 02115, USA.; Department of Medicine, Division of Infectious Diseases, Brigham and Women's Hospital, Boston, MA 02115, USA.; Precision Vaccines Program, Department of Pediatrics, Boston Children's Hospital, Boston, MA 02115, USA.; Precision Vaccines Program, Department of Pediatrics, Boston Children's Hospital, Boston, MA 02115, USA.; Research Unit of Clinical Immunology and Vaccinology, Bambino Gesù Children's Hospital, IRCCS, 00165 Rome, Italy.; Precision Vaccines Program, Department of Pediatrics, Boston Children's Hospital, Boston, MA 02115, USA.; Precision Vaccines Program, Department of Pediatrics, Boston Children's Hospital, Boston, MA 02115, USA.; Center for Pathogen Research, Department of Microbiology and Immunology, The University of Maryland School of Medicine, Baltimore, MD 21201, USA.; Center for Pathogen Research, Department of Microbiology and Immunology, The University of Maryland School of Medicine, Baltimore, MD 21201, USA.; Global Investigative Toxicology, Preclinical Safety, Sanofi, Cambridge, MA 02142, USA.; Precision Vaccines Program, Department of Pediatrics, Boston Children's Hospital, Boston, MA 02115, USA.; Precision Vaccines Program, Department of Pediatrics, Boston Children's Hospital, Boston, MA 02115, USA.; Precision Vaccines Program, Department of Pediatrics, Boston Children's Hospital, Boston, MA 02115, USA.; Precision Vaccines Program, Department of Pediatrics, Boston Children's Hospital, Boston, MA 02115, USA.; Precision Vaccines Program, Department of Pediatrics, Boston Children's Hospital, Boston, MA 02115, USA.; Precision Vaccines Program, Department of Pediatrics, Boston Children's Hospital, Boston, MA 02115, USA.",N/A,N/A,Journal Article
39568773,Gut microbiota in health and disease: advances and future prospects.,"The gut microbiota plays a critical role in maintaining human health, influencing a wide range of physiological processes, including immune regulation, metabolism, and neurological function. Recent studies have shown that imbalances in gut microbiota composition can contribute to the onset and progression of various diseases, such as metabolic disorders (e.g., obesity and diabetes) and neurodegenerative conditions (e.g., Alzheimer's and Parkinson's). These conditions are often accompanied by chronic inflammation and dysregulated immune responses, which are closely linked to specific forms of cell death, including pyroptosis and ferroptosis. Pathogenic bacteria in the gut can trigger these cell death pathways through toxin release, while probiotics have been found to mitigate these effects by modulating immune responses. Despite these insights, the precise mechanisms through which the gut microbiota influences these diseases remain insufficiently understood. This review consolidates recent findings on the impact of gut microbiota in these immune-mediated and inflammation-associated conditions. It also identifies gaps in current research and explores the potential of advanced technologies, such as organ-on-chip models and the microbiome-gut-organ axis, for deepening our understanding. Emerging tools, including single-bacterium omics and spatial metabolomics, are discussed for their promise in elucidating the microbiota's role in disease development.","Yusheng Zhang, Hong Wang, Yiwei Sang, Mei Liu, Qing Wang, Hongjun Yang, Xianyu Li",MedComm,2024,cell death; ferroptosis; gut microbiota; microbiome–gut–organ axis chip; pyroptosis; single‐bacterium omics,10.1002/mco2.70012,Beijing Key Laboratory of Traditional Chinese Medicine Basic Research on Prevention and Treatment for Major Diseases Experimental Research Center China Academy of Chinese Medical Sciences Beijing China.; School of Traditional Chinese Medicine Southern Medical University Guangzhou China.; Beijing Key Laboratory of Traditional Chinese Medicine Basic Research on Prevention and Treatment for Major Diseases Experimental Research Center China Academy of Chinese Medical Sciences Beijing China.; Beijing Key Laboratory of Traditional Chinese Medicine Basic Research on Prevention and Treatment for Major Diseases Experimental Research Center China Academy of Chinese Medical Sciences Beijing China.; School of Life Sciences Beijing University of Chinese Medicine Beijing China.; State Key Laboratory for Quality Ensurance and Sustainable Use of Dao-di Herbs China Academy of Chinese Medical Sciences Beijing China.; Beijing Key Laboratory of Traditional Chinese Medicine Basic Research on Prevention and Treatment for Major Diseases Experimental Research Center China Academy of Chinese Medical Sciences Beijing China.,N/A,N/A,Journal Article; Review
